map_id,org_id
0,owner500032
1,owner100892
2,owner502411
3,owner100048
4,owner65281237
5,owner500941
6,owner123825
7,owner102343865
8,owner248067
9,owner69162605
10,owner219803
11,owner160161
12,owner230362
13,owner502342
14,owner151312351
15,owner252061
16,owner501534
17,owner500224
18,owner152181
19,owner500361
20,owner500026
21,owner102814
22,owner1260502
23,owner3336558
24,owner500141
25,owner500029
26,owner108805
27,owner500342
28,owner173249
29,owner136369
30,owner500792
31,owner220487
32,owner106788
33,owner159045
34,owner282142
35,owner500933
36,owner501025
37,owner500920
38,owner2431159
39,owner1092043
40,owner34106946
41,owner103956
42,owner128393
43,owner212710
44,owner100722
45,owner502618
46,owner106646
47,owner107096
48,owner112168
49,owner500292
50,owner123431
51,owner501138
52,owner104690515
53,owner131935386
54,owner138415970
55,owner195459
56,owner120581858
57,owner280410
58,owner72875777
59,owner51806388
60,owner283921
61,owner501033
62,owner151652731
63,owner281489
64,owner500313
65,owner47718706
66,owner183350
67,owner144690
68,owner500338
69,owner125457
70,owner121321
71,owner1275604
72,owner154036
73,owner203096
74,owner1116375
75,owner500247
76,owner202906
77,owner127320
78,owner1655123
79,owner101938
80,owner38261325
81,owner103857
82,owner500945
83,owner101191
84,owner113838
85,owner500567
86,owner500476
87,owner500205
88,owner100123
89,owner501152
90,owner502223
91,owner101481
92,owner100057
93,owner103259
94,owner500379
95,owner500332
96,owner12044418
97,owner500156
98,owner110275
99,owner100975
100,owner103743
101,owner106941
102,owner276351
103,owner500030
104,owner95805238
105,owner501831
106,owner105079
107,owner500005
108,owner100760
109,owner107391
110,owner100662
111,owner501581
112,owner219481
113,owner102630
114,owner1876173
115,owner500506
116,owner500921
117,owner1708520
118,owner500536
119,owner500923
120,owner101250
121,owner136002
122,owner500460
123,owner108380
124,owner1285709
125,owner102785
126,owner100375
127,owner500099
128,owner102413
129,owner231932
130,owner500027
131,owner500112
132,owner113574
133,owner209069
134,owner1746399
135,owner279492
136,owner83340965
137,owner144247390
138,owner150468616
139,owner44046946
140,owner152920915
141,owner501446
142,owner106782
143,owner149395
144,owner121265
145,owner500334
146,owner108658
147,owner502159
148,owner219769
149,owner107607
150,owner3518670
151,owner154832
152,owner1198347
153,owner102353
154,owner500254
155,owner252334
156,owner1386944
157,owner28102741
158,owner501255
159,owner501076
160,owner501477
161,owner1495481
162,owner108463
163,owner500262
164,owner42471923
165,owner116149
166,owner192672
167,owner237627
168,owner238322
169,owner270746
170,owner125007
171,owner501628
172,owner500053
173,owner285181
174,owner130619805
175,owner51087769
176,owner144893084
177,owner19760750
178,owner149074707
179,owner153840756
180,owner150858630
181,owner43449844
182,owner150164315
183,owner176337
184,owner135127371
185,owner79353402
186,owner4585093
187,owner146555473
188,owner500228
189,owner121462161
190,owner1410995
191,owner145761411
192,owner501517
193,owner150454993
194,owner74447837
195,owner59097139
196,owner265640
197,owner102065
198,owner146032
199,owner234969
200,owner2677102
201,owner2986662
202,owner177837
203,owner123733409
204,owner100027
205,owner29281526
206,owner68930888
207,owner150475229
208,owner150356585
209,owner121110
210,owner500561
211,owner107695
212,owner252371
213,owner273405
214,owner101915
215,owner204495
216,owner100713
217,owner502065
218,owner106918
219,owner1712284
220,owner500055
221,owner502300
222,owner4174594
223,owner4246607
224,owner105827
225,owner500578
226,owner501986
227,owner3943517
228,owner502015
229,owner502288
230,owner502121
231,owner122873
232,owner500345
233,owner107911
234,owner501381
235,owner3018482
236,owner100868
237,owner103803
238,owner1919124
239,owner500128
240,owner501253
241,owner115053
242,owner75197037
243,owner172258
244,owner2721871
245,owner101907039
246,owner218046
247,owner58183400
248,owner127040922
249,owner70437608
250,owner36245960
251,owner146718924
252,owner100265
253,owner103531
254,owner502243
255,owner1483900
256,owner3509398
257,owner2581992
258,owner1977934
259,owner15978009
260,owner1192435
261,owner2538103
262,owner3461735
263,owner500113
264,owner2242812
265,owner501423
266,owner3728217
267,owner502634
268,owner3650685
269,owner33607886
270,owner501352
271,owner500502
272,owner109934
273,owner27026090
274,owner500373
275,owner102976
276,owner111405
277,owner500344
278,owner1024314
279,owner1857052
280,owner2129324
281,owner2854429
282,owner2826710
283,owner2243815
284,owner36176595
285,owner125966
286,owner2383188
287,owner501087
288,owner500246
289,owner104486
290,owner3562015
291,owner500088
292,owner102502
293,owner503004
294,owner138530004
295,owner108346
296,owner210084
297,owner125710
298,owner2639924
299,owner148264165
300,owner146972009
301,owner130432750
302,owner65510256
303,owner123003364
304,owner104373522
305,owner30033882
306,owner152789768
307,owner54516164
308,owner211035
309,owner4661565
310,owner154995
311,owner105393
312,owner135633
313,owner118579
314,owner501616
315,owner56491266
316,owner501193
317,owner146663
318,owner100253
319,owner500267
320,owner500226
321,owner46200398
322,owner3139808
323,owner33658913
324,owner169092
325,owner80270260
326,owner122533
327,owner2176041
328,owner500310
329,owner1475408
330,owner121311
331,owner2851232
332,owner110453
333,owner30799146
334,owner501029
335,owner234467
336,owner122301
337,owner1366542
338,owner149733750
339,owner2989625
340,owner1248903
341,owner151445970
342,owner166094
343,owner2639739
344,owner172876
345,owner215705
346,owner105078
347,owner142589740
348,owner128907797
349,owner137679
350,owner501652
351,owner500259
352,owner273966
353,owner183194
354,owner219325
355,owner110435
356,owner500815
357,owner122713984
358,owner122772874
359,owner120580976
360,owner159178154
361,owner119336678
362,owner108893045
363,owner159327297
364,owner502405
365,owner41999457
366,owner34503201
367,owner264071
368,owner50506995
369,owner63798628
370,owner2740176
371,owner82479576
372,owner500914
373,owner503021
374,owner147919
375,owner500317
376,owner131100
377,owner167718
378,owner105374
379,owner108936
380,owner138269
381,owner137801651
382,owner121461124
383,owner92104285
384,owner119535987
385,owner1030253
386,owner1506362
387,owner2187996
388,owner2089865
389,owner1909292
390,owner1208478
391,owner4617692
392,owner3831807
393,owner4620556
394,owner102963
395,owner52371196
396,owner80709466
397,owner172829
398,owner140653
399,owner205522
400,owner212770
401,owner132551
402,owner139420139
403,owner149606586
404,owner3198956
405,owner501380
406,owner500041
407,owner500890
408,owner500575
409,owner106556
410,owner117510
411,owner3176883
412,owner1921468
413,owner1322078
414,owner1392060
415,owner36615484
416,owner501190
417,owner137236
418,owner502972
419,owner137263
420,owner3178701
421,owner1245643
422,owner133510
423,owner101498
424,owner500627
425,owner500479
426,owner177883
427,owner1479444
428,owner102070
429,owner110288
430,owner127902866
431,owner222458
432,owner51757826
433,owner86474641
434,owner74646738
435,owner121598161
436,owner139467521
437,owner152578479
438,owner68376250
439,owner65753180
440,owner147001338
441,owner132105291
442,owner121410716
443,owner158119282
444,owner75848374
445,owner69829638
446,owner1877350
447,owner143529220
448,owner136695465
449,owner58633038
450,owner68868763
451,owner500458
452,owner145676388
453,owner147486541
454,owner72284395
455,owner144861777
456,owner152977318
457,owner48352580
458,owner49969317
459,owner227034
460,owner62663583
461,owner205289
462,owner501966
463,owner55832708
464,owner142025686
465,owner1713308
466,owner1385289
467,owner75397853
468,owner90721134
469,owner501292
470,owner1082520
471,owner1689138
472,owner2199187
473,owner1123663
474,owner3691457
475,owner1753258
476,owner106003
477,owner2766591
478,owner2700029
479,owner15677884
480,owner1607077
481,owner500584
482,owner183514
483,owner143053659
484,owner108041
485,owner85319839
486,owner502702
487,owner37173012
488,owner151774921
489,owner1053343
490,owner247535
491,owner146448656
492,owner278464
493,owner97309220
494,owner271080
495,owner1250170
496,owner1138149
497,owner1410308
498,owner2832170
499,owner4001332
500,owner2468392
501,owner152982148
502,owner500424
503,owner3787800
504,owner3258675
505,owner2800397
506,owner2198211
507,owner103052
508,owner106986
509,owner124288
510,owner500272
511,owner102821
512,owner100158
513,owner165938
514,owner4874669
515,owner47402770
516,owner214571
517,owner149554186
518,owner148528766
519,owner59484497
520,owner41454361
521,owner153602755
522,owner500384
523,owner1684638
524,owner1268209
525,owner1318758
526,owner2644405
527,owner1402930
528,owner4679721
529,owner3978407
530,owner501020
531,owner108588
532,owner76588115
533,owner92563680
534,owner125744497
535,owner2579451
536,owner190871
537,owner2318496
538,owner2639933
539,owner3295156
540,owner2978815
541,owner1174191
542,owner1242064
543,owner1253038
544,owner2543233
545,owner100189
546,owner2806821
547,owner2876121
548,owner500102
549,owner2920504
550,owner3220626
551,owner1350568
552,owner1279562
553,owner1318077
554,owner127437
555,owner60136286
556,owner149252759
557,owner150806298
558,owner136995715
559,owner1342169
560,owner2080312
561,owner1485984
562,owner6329686
563,owner2172477
564,owner500404
565,owner502527
566,owner1538748
567,owner502057
568,owner501686
569,owner176990
570,owner500249
571,owner178720
572,owner500868
573,owner128900970
574,owner500581
575,owner138549
576,owner101384
577,owner234620
578,owner500014
579,owner500065
580,owner100863
581,owner500952
582,owner59164097
583,owner210770
584,owner97137696
585,owner36395064
586,owner3167137
587,owner500245
588,owner3112614
589,owner145358395
590,owner143582659
591,owner138104844
592,owner128389
593,owner59901107
594,owner92439545
595,owner100525
