map_id,org_id
0,u1953979
1,u122539430
2,u45818159
3,u1398284
4,u4711121
5,u42121404
6,u80375538
7,u3652404
8,u3818196
9,u44293839
10,u47485390
11,u38814220
12,u40421645
13,u45831136
14,u3134231
15,u55707934
16,u2301115
17,u50175491
18,u143168294
19,u3916621
20,u52126147
21,u3640414
22,u47028672
23,u1662146
24,u2050222
25,u45314298
26,u1686139
27,u48594379
28,u150981893
29,u148198976
30,u28940091
31,u36909404
32,u4448588
33,u77265704
34,u2808962
35,u4533714
36,u1217458
37,u1674158
38,u2293859
39,u43507913
40,u4255205
41,u4736403
42,u43183565
43,u36696818
44,u43134597
45,u44496550
46,u28953381
47,u2483274
48,u4725756
49,u35790203
50,u1410468
51,u3689721
52,u1977934
53,u70103522
54,u43134587
55,u3110273
56,u4545707
57,u56503787
58,u2267587
59,u47091941
60,u3843141
61,u2806320
62,u1699417
63,u3338243
64,u3341895
65,u44773709
66,u64172419
67,u1990960
68,u29519193
69,u150523820
70,u4027544
71,u39202329
72,u31905075
73,u56491266
74,u44821952
75,u2734147
76,u47966580
77,u1243771
78,u41517679
79,u1507975
80,u62254300
81,u3855189
82,u48833233
83,u4665569
84,u51307606
85,u4915123
86,u1626485
87,u65955934
88,u47256348
89,u47978561
90,u138155934
91,u3592286
92,u2484595
93,u1506638
94,u33933605
95,u42829355
96,u1712955
97,u1893766
98,u3341877
99,u48281160
100,u10666580
101,u4677544
102,u2484557
103,u3954946
104,u35104566
105,u38840580
106,u154669621
107,u46749725
108,u1446432
109,u1171561
110,u2025243
111,u43687471
112,u36960731
113,u2542130
114,u1460702
115,u67365288
116,u1433121
117,u42085295
118,u2833964
119,u45579283
120,u3616760
121,u1231794
122,u44315700
123,u3592265
124,u150318854
125,u46390665
126,u50897661
127,u2025235
128,u42757140
129,u94455358
130,u2268838
131,u34356389
132,u66269515
133,u1230492
134,u1976694
135,u44832646
136,u19729126
137,u65691701
138,u4174972
139,u154671999
140,u3160593
141,u138417599
142,u2256842
143,u2230213
144,u113003024
145,u4123395
146,u1760647
147,u2001217
148,u54116486
149,u1409414
150,u79926683
151,u1903624
152,u24337330
153,u2579461
154,u2578130
155,u3750906
156,u44218531
157,u4883887
158,u77623129
159,u3483096
160,u27818061
161,u48678551
162,u38141009
163,u4882560
164,u3652483
165,u16514933
166,u2773701
167,u12871206
168,u145747624
169,u1761984
170,u1962061
171,u6077480
172,u153679144
173,u44675254
174,u22458805
175,u2579451
176,u30858374
177,u53535028
178,u46917742
179,u2746106
180,u9367419
181,u33273685
182,u43602432
183,u41878472
184,u2964465
185,u54620038
186,u39237023
187,u1038741
188,u50282000
189,u1242462
190,u60805471
191,u1949093
