map_id,org_id
0,owner2364066
1,owner170920
2,owner45882641
3,owner243498
4,owner222107
5,owner89961234
6,owner500263
7,owner74740077
8,owner55616998
9,owner139902226
10,owner140098964
11,owner117601
12,owner4848412
13,owner1414033
14,owner123168418
15,owner246052
16,owner78184646
17,owner40961937
18,owner81896638
19,owner52672775
20,owner102343865
21,owner82850968
22,owner157624
23,owner501613
24,owner183350
25,owner150475229
26,owner29950419
27,owner123493153
28,owner269365
29,owner501623
30,owner116837
31,owner190667
32,owner501006
33,owner500741
34,owner500101
35,owner177837
36,owner155239603
37,owner279492
38,owner226519
39,owner143908306
40,owner219803
41,owner130059
42,owner283277
43,owner164069
44,owner150616279
45,owner26151738
46,owner202361
47,owner211035
48,owner22176826
49,owner165938
50,owner64038012
51,owner1449319
52,owner3900262
53,owner135877
54,owner195459
55,owner218237
56,owner276418
57,owner197989
58,owner70659680
59,owner501058
60,owner243004
61,owner132424351
62,owner284814
63,owner126076177
64,owner4654476
65,owner502342
66,owner501549
67,owner500020
68,owner2695848
69,owner500437
70,owner145989
71,owner500099
72,owner31550958
73,owner500267
74,owner501171
75,owner500033
76,owner500019
77,owner246228
78,owner500141
79,owner275198
80,owner267084
81,owner285181
82,owner57135532
83,owner62069513
84,owner131348420
85,owner173249
86,owner137388246
87,owner500050
88,owner50000389
89,owner4384866
90,owner169176
91,owner233447
92,owner187956
93,owner133075
94,owner176416
95,owner96017656
96,owner22703872
97,owner146789910
98,owner150468616
99,owner152515450
100,owner3779236
101,owner47998414
102,owner183683
103,owner144540932
104,owner42392553
105,owner153880668
106,owner223880
107,owner137681667
108,owner43393327
109,owner139987446
110,owner500361
111,owner74091492
112,owner2808064
113,owner154667108
114,owner285324
115,owner284548
116,owner54544021
117,owner242736
118,owner149098313
119,owner106923383
120,owner246063
121,owner160364
122,owner501824
123,owner225311
124,owner143406
125,owner90789536
126,owner76396633
127,owner500295
128,owner500028
129,owner130791230
130,owner150100463
131,owner54887294
132,owner148105857
133,owner130698
134,owner148104355
135,owner158261391
136,owner128574
137,owner2636708
138,owner144537825
139,owner274724
140,owner127675359
141,owner1192257
142,owner143438529
143,owner1112333
144,owner85158405
145,owner47001857
146,owner14631477
147,owner124435284
148,owner69090579
149,owner250952
150,owner41367506
151,owner49458865
152,owner89062033
153,owner257020
154,owner2198119
155,owner284812
156,owner146496531
157,owner47487575
158,owner45768728
159,owner100181
160,owner127059883
161,owner503055
162,owner132755
163,owner502222
164,owner500916
165,owner148510622
166,owner128934797
167,owner2584412
168,owner44290369
169,owner270956
170,owner3695949
171,owner4886846
172,owner1870591
173,owner49559500
174,owner146840289
175,owner282702
176,owner121265
177,owner95587835
