map_id,org_id
0,u145297652
1,u1157049
2,u147703270
3,u73195248
4,u2695848
5,u128098681
6,u39833990
7,u1680812
8,u47361451
9,u113650689
10,u147018202
11,u77353675
12,u150475229
13,u151525342
14,u159653148
15,u159242347
16,u4644686
17,u54216003
18,u78607249
19,u148105857
20,u148479166
21,u151093987
22,u145331523
23,u2198119
24,u1870591
25,u75068562
26,u153800991
27,u154575683
28,u154528333
29,u98584828
30,u50226906
31,u80718660
32,u79547632
33,u155030315
34,u154770326
35,u3488023
36,u2221356
37,u153292297
38,u3684490
39,u64985851
40,u3916988
41,u156718144
42,u146496531
43,u141229234
44,u22056570
45,u144529240
46,u1024738
47,u2358110
48,u156113004
49,u54851987
50,u157921530
51,u9751737
52,u41286133
53,u155005128
54,u153740471
55,u88196890
56,u52257989
57,u154321458
58,u128016492
59,u154449672
60,u154953778
61,u155005121
62,u50612994
63,u153923595
64,u152656209
65,u50580885
66,u151111131
67,u159276339
68,u55558738
69,u99800251
70,u154703506
71,u57372415
72,u38644213
73,u2530136
74,u91282002
75,u1367457
76,u150222145
77,u1297379
78,u4654476
79,u3241871
80,u55521416
81,u146943789
82,u1274797
83,u75789453
84,u1489031
85,u54390796
86,u1113687
87,u154033000
88,u1977747
89,u50864517
90,u146460555
91,u58831560
92,u2577492
93,u145628225
94,u147433706
95,u131751562
96,u151473854
97,u2636708
98,u137872932
99,u155708904
100,u154440916
101,u1143085
102,u1252360
103,u149908687
104,u49774662
105,u154313809
106,u75081344
107,u4015441
108,u36820656
109,u154909641
110,u8282021
111,u49011147
112,u144725676
113,u49650944
114,u154480244
115,u91800639
116,u139790942
117,u56687749
118,u152268612
119,u158261391
120,u155834751
121,u136542395
122,u148104355
123,u37947887
124,u36783794
125,u151238215
126,u79005452
127,u140245499
128,u151430266
129,u149715467
130,u31301735
131,u152510992
132,u62069513
133,u151121136
134,u149785406
135,u154456137
136,u150098648
137,u5703099
138,u150592237
139,u43254751
140,u158262013
141,u51920827
142,u1045883
143,u47067942
144,u52198878
145,u60096446
146,u55372648
147,u43948178
148,u43924420
149,u60794597
150,u1095899
151,u1331520
152,u159608475
153,u146789910
154,u3604300
155,u155414003
156,u87833214
157,u2001326
158,u151509499
159,u51076775
160,u155587473
161,u1967987
162,u142705837
163,u132810510
164,u155005064
165,u23569660
166,u14907333
167,u45075770
168,u52028795
169,u1118881
170,u148905046
171,u139543460
172,u147604121
173,u146722305
174,u150145590
175,u144104576
176,u13401971
177,u155890493
178,u58662367
179,u143153511
180,u142474422
181,u56169063
182,u87579847
183,u69058559
184,u155413381
185,u104390249
186,u4021105
187,u54015782
188,u91544335
189,u47236479
190,u121271603
191,u1770568
192,u34213386
193,u153522767
194,u55547080
195,u154285234
196,u155309153
197,u129165506
198,u74665958
199,u148824980
200,u65293758
201,u60716755
202,u3072834
203,u120226136
204,u63544145
205,u131060448
206,u45166764
207,u51878795
208,u155023992
209,u155005088
210,u63862994
211,u37019958
212,u77848216
213,u155405759
214,u65196865
215,u123958694
216,u149907215
217,u101905296
218,u157989082
219,u41846670
220,u132840636
221,u64800804
222,u51724071
223,u2445881
224,u78147013
225,u151512579
226,u155005099
227,u154545706
228,u144885752
229,u155309051
230,u154935172
231,u70804436
232,u151356569
233,u29562494
234,u132021037
235,u44436756
236,u1208476
237,u148562281
238,u4439271
239,u4663675
240,u142498688
241,u146440662
242,u60619496
243,u70180078
244,u155135120
245,u155005143
246,u97077821
247,u47103904
248,u138201504
249,u53282780
250,u26151738
251,u150220889
252,u2609858
253,u63079475
254,u35343365
255,u48205980
256,u146976421
257,u121988170
258,u45980595
259,u145768992
260,u58640150
261,u1234885
262,u3504757
263,u158226386
264,u141921898
265,u45817151
266,u1901885
267,u79765318
268,u155005153
269,u60559376
270,u159177382
271,u151509227
272,u55547288
273,u150911805
274,u9371860
275,u54493811
276,u149940313
277,u66066011
278,u151302303
279,u49576801
280,u152276784
281,u51250618
282,u1232378
283,u76192477
284,u2510051
285,u147232734
286,u100408965
287,u159132361
288,u152277626
289,u155309142
290,u63244002
291,u144537825
292,u74885963
293,u73334167
294,u148408725
295,u158240405
296,u120595125
297,u91308143
298,u53200397
299,u154579988
300,u157176181
301,u81195512
302,u1887833
303,u82850968
304,u142234755
305,u155309374
306,u41545710
307,u73909774
308,u126795822
309,u91614661
310,u159323844
311,u2590377
312,u148092916
313,u1314003
314,u142223987
315,u143921400
316,u146194896
317,u2767450
318,u74787123
319,u62201552
320,u125202308
321,u147452647
322,u153430860
323,u36797894
324,u1060617
325,u1864609
326,u2882128
327,u97206961
328,u155309206
329,u37567847
330,u148555232
331,u150826637
332,u2031016
333,u47998414
334,u154764793
335,u3681527
336,u154428287
337,u155587504
338,u1394117
339,u144640102
340,u2228662
341,u4469835
